Title,Location,Company,Salary,Sponsored,Description
Phone Recruiter,"Mumbai, Maharashtra",Whitehat Education Technology Pvt. Ltd.,"₹2,00,000 - ₹3,00,000 a year",Sponsored,None
Technical Support Executive,"Mumbai, Maharashtra",Whitehat Education Technology Pvt. Ltd.,"₹2,00,000 - ₹3,00,000 a year",Sponsored,"Job Summary
Recruitment executive (Phone recruitment– HR background preferred)
Company Background
In 2030, Artificial Intelligence and Robotics will touch 800 Million jobs. The world will split into creators and consumers. WhiteHat Jr makes kids creators in the new world with the first structured coding curriculum in the world for early childhood.
Kids learn logic, structure, sequence and algorithmic thinking to generate creative outcomes like animations and apps. All classes are taught via a live 1:1 Online platform connecting Top 99.9th percentile of certified teachers to kids 6-14 years of age.
Location - WeWork Powai, Near L&T. (Mumbai Location only)
Job Summary- Recruit & train teachers at scale in delivering an excellent online classroom experience.
Responsibilities and Duties
Candidate Screening: Screen hundreds of applicants (our platform is very popular given high teacher pay) and conduct 150+ telephonic interviews per day to shortlist candidates that meet the minimum requirements
Coordinating recruiting operational process and detailed record-keeping: Process applicants through a funnel of screening and multiple demos and interviews before proceeding to offer.
Report recruiting activities on a timely basis
Required Experience, Skills and Qualifications
Communication Skills: Effective oral and written communication skills. Speak in a professional, personable
way to potential teachers and inform them about job requirements and answer any questions they might have
Incredible organisation skills with deep detail obsession: Candidate has to keep detailed records of thousands of candidates and funnel them through a process with a < 0.1% selection rate. Systems thinking, process orientation and detail obsession is key
Persistence: Follow-up hiring leads to complete the hiring and training process to onboard them on the WhiteHat teaching platform
Experience : 1-2 year experience with recruiting, technical recruiting a plus (Freshers allowed)
Education: A bachelor’s degree is required
Salary: 20k/month to 25k/month In-hand + Plus performance incentive upto 12k/month * Work Hours: 10 a.m - 7 p.m.(Monday-Saturday)
More about WhiteHat Jr:
https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/former-disney-india- heads-edtech-startup-raises-10-million-in-series-a-round/articleshow/71082167.cms?from=mdr
https://yourstory.com/2019/10/edtech-startup-mumbai-whitehatjr-kids-learn-coding
About Founder: Karan Bajaj, Ex-Discovery CEO |
https://en.wikipedia.org/wiki/Karan_Bajaj cription:
Scheduling a free Trial demo lecture for interested students for an online Coding Class
Responsibilities and Duties
Essential Duties and Responsibilities
Determines requirements and coordinating with parents, for booking a requested slot.
Answers inquiries by clarifying desired information by researching, locating, and providing information.
Fulfills requests by clarifying desired information; confirming slots, and forwarding requests.
Maintains database by entering information.
Enhances organization reputation by accepting ownership for accomplishing new and different requests, and exploring opportunities to add value to job accomplishments.
Qualifications and Skills
Education: Minimum Graduation required in any field.
Excellent and effective communication skills.
Proven ability to take initiative, use consultative skills and build strong, productive relationships with parents.
Proven organizational skills with attention to detail and the ability to prioritize and succeed in an environment with competing demands.
‘Can do’ attitude with an ability to positively engage with people at all levels.
High proficiency level with Microsoft Office
Benefits
Location : Mumbai , Powai
CTC : 2.4 lacs
6 Days working
Job Type: Full-time
Salary: ₹200,000.00 to ₹300,000.00 /year
Education:
Bachelor's (Preferred)
Language:
English (Preferred)
Benefits:
Provident fund (PF)
Industry:
Education & Instruction"
Freelance Transcriber,"New Delhi, Delhi",EKITAI SOLUTIONS,"₹35,000 - ₹40,000 a month",Organic,"Job Summary
Recruit & train teachers at scale in delivering an excellent online classroom experience.
Company Background
In 2030, Artificial Intelligence and Robotics will touch 800 Million jobs. The world will split into creators and consumers. WhiteHat Jr makes kids creators in the new world with the first structured coding curriculum in the world for early childhood.
Kids learn logic, structure, sequence and algorithmic thinking to generate creative outcomes like animations and apps. All classes are taught via a live 1:1 Online platform connecting Top 99.9th percentile of certified teachers to kids 6-14 years of age.
Location - WeWork Powai, Near L&T. (Mumbai Location only)
More about WhiteHat Jr:
https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/former-disney-india- heads-edtech-startup-raises-10-million-in-series-a-round/articleshow/71082167.cms?from=mdr
https://yourstory.com/2019/10/edtech-startup-mumbai-whitehatjr-kids-learn-coding
About Founder: Karan Bajaj, Ex-Discovery CEO | https://en.wikipedia.org/wiki/Karan_Bajaj
Responsibilities and Duties
Responsibilities and Duties
Excellent oral communication skills in English with a passion to resolve customer queries successfully and quickly
Understanding Operating Systems like Windows 7,8,10 and MacOS.
Troubleshooting Network and Internet Issues for Clients.
Fixing Software and Drivers on Client Systems.
Understanding of Settings and Control Panel Options.
Fixing Issues in Device Manager and External Devices.
Understanding Latest Privacy Settings and Access Control in Devices
Setting Up System using Remote Desktop Connections like AnyDesk, TeamViewer, etc
Adept at technology to troubleshoot and ensure smooth online class experience.
Active listening skills, patience and detail obsession to maintain call logs.
Qualifications and Skills
Qualifications :
A bachelor’s degree is required. Graduate in Computer Science/IT or strong passion for devise and software tech debugging
Min. 1-3 years relevant experience OR Fresher Can Also APPLY
Benefits
Salary: 20k/month to 25k/month In-hand (Plus performance incentive upto 12k/month) Work Hours: 10 a.m. - 7 p.m. (Monday-Saturday)
Job Type: Full-time
Salary: ₹200,000.00 to ₹300,000.00 /year
Education:
Bachelor's (Preferred)
Benefits:
Provident fund (PF)
Industry:
Education & Instruction"
"Product Owner – Artificial Intelligence, Social & OTT Messag...","Mumbai, Maharashtra",Route SMS Solutions,None,Organic,"Dear Freelancers,
I hope you are doing fine.
We are currently looking for Hindi speaking people for a large transcription project. The project involves listening to audio and typing out what is said while following a set of guidelines and using a simple piece of software. Audios consist of everyday general conversation, non-technical podcasts, programs, and talk shows on a variety of subjects.
The transcription text will be used to train the Artificial Intelligence system for speech recognition.
To give you a rough idea, an hour of audio takes around 5-6 hours to transcribe(to type in a document). Considering the same, please quote your rates in terms of per hour of audio.
Also, please share your CV and related experience (if you have any) in doing this type of work. We would provide the necessary training before you start the project. Hence, a fresher can also participate in this project. We would be transcribing several hours in the coming 2-3 months.
We look forward to hearing from you.
Thanks,
Amit
Job Types: Part-time, Temporary
Salary: ₹35,000.00 to ₹40,000.00 /month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Higher Secondary(12th Pass) (Preferred)
Work Remotely:
Yes"
Epidemiologist (Tuberculosis),"Mumbai, Maharashtra",Wadhwani AI,None,Organic,"Job Role
Product Owner – Artificial Intelligence, Social & OTT Messaging

Location
Mumbai


We are looking for an experienced product professional who will work within the Product Team, reporting to the Product Portfolio Lead, and plan and execute the go-to-market strategy for all products and services under his/her portfolio which includes AI, Social and OTT messaging.
This role requires a passionate, collaborative, and solution-oriented approach and provides the opportunity to work with some of the biggest brands in the region in industries such as retail, hospitality, healthcare, travel, financial services, and real estate, to name a few.

Roles and Responsibilities
Lead his/her product portfolio along with the prioritized roadmap for AI services, Social media enablement services and OTT messaging
Determines customers’ products needs and desires by market research. Well versed with defining Product Definition Documents
Recommends the nature and scope of present and future product lines by reviewing product specifications and requirements; appraising new product ideas and/or product.
Assesses market competition by comparing the company’s product to competitors’ products.
Provides source data for product line communications by defining product marketing communication objectives.
To increase market share, work closely with sales team to develop product sales strategies.
Assesses product market data by visiting/calling on customers with Sales
Provides information to management by preparing short-term and long-term product sales forecasts and special reports and analyses; answering questions and requests.
Help sales to close deal by providing solution based on company’s product offering.
Brings new products to market by analysing proposed product requirements and product development programs; preparing return-on-investment analyses; establishing time schedules with Technology team.
Introduces and markets new products by developing time-integrated plans with sales, advertising, and production.
Determines product pricing by utilizing market research data; reviewing production and sales costs; anticipating volume; costing special and customized orders.
Maintain and Upgrade professional and technical knowledge
Contributes to team effort by accomplishing related results as needed.
Familiar with wire-framing, prototyping and has had experience on project management tools like Trello, JIRA or similar
Some technical knowledge is preferable in the Mobile domain
A good understanding of the end-to-end product cycle

Competencies
Understands communications landscape, latest technology and trends, and hands on experience utilizing communication channels, capability to deliver customer facing experiences
Ability to deliver high quality documentation paying attention to detail
Excellent written skills in English
University degree in Computer Science, Engineering or equivalent preferred
Skilled at prioritization and multi-task
Should demonstrate a roll-out of at-least 2 products in the market
6+ years of overall experience
4+ years of experience in AI, OTT, Social channels a plus

Email
careers@routemobile.com"
Data Quality Assistant,"Langford Town, Karnataka",Infilect Technologies Pvt. Ltd.,"₹40,000 - ₹60,000 a month",Organic,"At Wadhwani AI, we use the power of modern artificial intelligence to help solve some of the most challenging problems in the world. We are looking for a candidate to join our team in Mumbai in a full-time role, who can represent Wadhwani AI at national and international avenues as our resident expert in the field of tuberculosis epidemiology.
ABOUT US
The Wadhwani Institute for Artificial Intelligence (Wadhwani AI) is the world’s first independent non-profit research institute developing AI solutions for social good. Our mission is to develop AI solutions to overcome challenges of societal importance in domains such as health, agriculture, financial inclusion, and infrastructure. Our team consists of world-renowned scientists, innovators, and entrepreneurs from Stanford, Yale, Cornell, and the IITs, with experience at companies like Microsoft, Google, Amazon, and DE Shaw. We have research collaborations with Stanford University, Carnegie Mellon University, New York University, University of Southern California, and the University of Washington.
Interested? The role will require you to:
Serve as the recognized expert in epidemiology for the Wadhwani Institute for Artificial Intelligence.
Be responsible for developing objectives, appraising programs, and initiating requirements for all epidemiological functions.
Oversee contracts, grants, awards, and cooperative agreements with full responsibility, and carry out all required monitoring and management duties in projects.
Design plans and initiate epidemiologic studies, surveys, and investigations.
Represent Wadhwani AI at national or internationally platforms as an expert in the field of TB epidemiology.
Function as a project coordinator and recommend resources for epidemiologic projects.
Details for Interested Applicants:
The candidate will work from the Wadhwani AI office in Mumbai, India.
The candidate should be comfortable with spending time in the field, since they will spend up to 40% of the time in domestic or international travel for projects.
The candidate should be able to work with multidisciplinary teams like engineering, AI researchers, and product and program managers.
The candidate must have excellent interpersonal skills with written and oral communications in English.
The candidate must have significant organizational, planning, negotiation, facilitation, and problem-solving skills.
Preferred Qualifications:
Masters Degree in an academic field related to the medical field, health sciences, or allied sciences.
Two years (minimum) of relevant technical experience conducting research in tuberculosis epidemiology and statistics. The candidate must have an excellent understanding of TB epidemiology, TB policies and interventions, and health systems.
Extensive quantitative skills and a proven track record of producing results.
Extensive experience in working with national TB health programs and offering technical assistance.
Experience in conducting training and capacity building exercises.
Excellent computer skills, including familiarity with Microsoft Office programs and statistical software."
Online Tutor,"Meerut, Uttar Pradesh",Tech Mech International Pvt Ltd,"₹10,000 - ₹20,000 a month",Organic,"This is *NOT* a data analyst, data scientist, or data engineering, or coding job.
This is a business process optimisation job where you are required to sit through annotated data and do curation of the annotated data. This is a manual data quality checking job.
Please apply if and only if,
you are detail oriented and enjoy data annotation and data quality processes,
you wish to take part in data annotation and data tagging work to tag objects from photos and videos,
you want to produce high quality annotated datasets (that can be used to build highly accurate Artificial Intelligence models/products),
you are keen to champion a team (assign tasks, explain the tasks, monitor the quality, review the work, do corrections by yourself) that works on data annotation and data curation tasks
you can speak English and Tamil fluently
Once you apply, we will share a small write-up assignment with you. Only those who pass the assignment submission will be considered for the subsequent phone/on-site interviews. This is our method to judge genuine candidates among the sea of enthusiast.
*About the job*:
Infilect works towards building artificial intelligent products. The core of artificial intelligence today is very well annotated datasets. As a lead data annotator, you will lead and work with a team of data annotators to annotate objects in photos and videos. Infilect works in retail domain and you will need to tag objects such as Pepsi/Coke bottles in photos and videos captured in retail stores. A typical day involves creating data annotation instruction manuals (how does a Pepsi bottle look vs how does a Coke bottle look), tracking quality of annotated data by monitoring the work of data annotation team, and doing corrections in order to produce high quality annotated data for the team that works on building artificial intelligence algorithms.
We are an early stage start-up (and not a late stage start-up such as Flipkart/Ola). This implies high risk high reward environment, doing grunt work at a few times, having ownership and responsibility, do everything that should be done to get the task done on time. The rewards are of course in terms of fulfilment (some philosophy here!), above market salary, rapid growth in compensation, and stock options.
Think about being employee no < 20 in an early stage startup and the challenges that come with it. Only if you believe that you can thrive in such environment, should you apply.
*Who is eligible*
Prior experience in data annotation tasks (e.g., Amazon Mechanical Turk, Playment, etc.)
Hands-on experience in using browser-based data annotation tools
Willingness to review and do corrections in the tasks done by other data annotators
Experience to work on data quality checks in MS excel
Fluency in written and spoken English and Tamil
Genuine love and interest towards data quality check tasks
Intent to work and grow with early-stage startups
Job Types: Full-time, Contract
Salary: ₹40,000.00 to ₹60,000.00 /month
Experience:
work: 1 year (Required)
total work: 1 year (Required)
Quality Assurance: 1 year (Required)
Education:
Diploma (Required)
Work Remotely:
Temporarily due to COVID-19"
School,"Hennur, Karnataka",Sparkling Mindz,None,Organic,"We are into Education & Training programs and looking for Online Trainer's or Online Tutors for different subjects & vocational course.
Trainer should be well versed & smart to work online - give classes via Zoom App or other mode and record & report on regular basis.
You are fit for the job:
if you think you can take time out and have skills to be a trainer in - any subject English, Maths, Science or other subjects
You have knowledge of professional skills - Python, Pearl, Java, C++, .Net, Artificial Intelligence, Organic Farming etc (any subject you are expert in).
Can record & teach online.
The job will be Commission based or as per the discussion.
For Selection please share the CV & recorded demo of minimum 3 minutes sooner.
Job Types: Full-time, Part-time, Temporary, Commission
Salary: ₹10,000.00 to ₹20,000.00 /month
Experience:
work: 1 year (Preferred)
Teaching: 1 year (Preferred)
childcare: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Computer Operations Analyst 2,Karnataka,Wells Fargo,None,Organic,"Sparkling Mindz strives by a vision to create innovative learning experiences
and make education relevant in the 21st century. We believe that learning
should be joyous and meaningful for children and help them develop their
identity and a change maker mindset. It’s time our learning systems were
innovated. We are looking for passionate individuals who share our vision of
transforming education.
At Sparkling Mindz, children find meaning and purpose in their learning
experiences and in order to enable that we have transformed the subjects into
learning areas where each learning area carries with it the purpose and the
application of learning it too. For example: English/Hindi is learnt as E/HLAC
(English/Hindi Language Arts and Communication), Math as MPD (Math
Problem Solving and Design), Science as SIE (Scientific Inquiry and
Experimentation), Social Studies as CWE (Citizenship, World and
Entrepreneurship) and Computer Science as DLI (Digital Literacy and
Innovation).
Positions Available:
1. MPD Learning Facilitator (Full-Time, Primary, Middle, High School)
Math Problem Solving and Design learning area aims to help students
understand math as a problem-solving language of the world. In this learning
area students are guided to observe, quantify, define and solve problems. The
core competences worked on this area are Reasoning and Strategy,
Connection, Representation, Problem Solving and Design.
Engagement you will have to create with the students

Connection
Facilitate markets,
shop experiences,
exploratory activities
and more to help
students organically
connect math to the
world.


Design
Working with
students to design
and create solutions
using their learning
outcomes.


Strategy
Facilitating master
classes to help
students understand
various strategies
and concepts.


Problem Solving
Guide students in
articulating problems
and solving them
using the power of
math.
Sparkling Mindz Global School
Learning Facilitator Open Posi:ons
2. Scientific Innovation and Experimentation Learning Facilitator (Full-
Time, Primary, Middle, High School)
Scientific Inquiry and experimentation learning area aims to help children become
curious and develop a scientific temper. Students are challenged through a game
called the Guardians of Science and will be working on skills such as Questioning,
Self-Learning, Experimentation, Projects and Change Making.
Engagement you will have to create with the students
3. Language Arts and Communication Learning Facilitator (Full-Time,
Primary, Middle, High School)
Language Arts and Communication (LAC includes English, Hindi, Kannada, Spanish,
Chinese etc.) is a learning area that enables one to experience language in multiple
facets and through three phases of reading a text – Before, During and After.
Language is explored through a game called Finding Cloudsy. The game provides an
opportunity to master various skills such as Reading Fluency, Reading
Comprehension, Deep and Slow Reading, Quick Skimming, Writing Structure,
Grammar and Vocabulary in a purposeful, fun way.
Engagement you will have to create with the students

Explore
Conduct
experiments, read
scientific material,
observe
phenomenon around
you with students
and help them form
deep wonder
questions


Inspire
Share stories of
change making
through science and
guide students to
work on real time
projects that solve
problems.


Experiment
Guide students to
conduct various
experiments. Create
space for students to
write their own
hypothesis and
conduct their own
experiment.


Reason and Solve
Facilitate the process
of finding reason and
solving problems
connected to the
wonder questions.


Wonder
Get children to
wonder, predict and
make connections
with self – text –
world before reading.


Create
Use the power of
writing to express
ideas emerging from
the text while also
exploring different
genres, types and
media.


Connect
Enable students to
dive into the crux of
the text and draw
deeper insights
through discussions
and activities.


Analyze
Break down the text
to analyze
relationships, details,
identify text elements
and study semantics.
Sparkling Mindz Global School
Learning Facilitator Open Posi:ons
4. Digital Literacy and Innovation (Full-Time, Primary, Middle, High
School)
Digital literacy and innovation learning area aims to provide children with the necessary
tools to become informed and capable digital citizens and empower them to seek and
use digital technology to innovate, solve problems, create an impact. It consists of :
1. Digital Literacy - Developing fluency in children towards the usage of digital
technology to communicate and express oneself.
2. Digital Citizenship - Cultivating a habit of safe and effective use of digital and online
tools and actively curating own digital footprint.
3. Innovation and Creation - Using code and hardware to create innovative solutions
that solve real world problems.
Engagement you will have to create with the students
5. Citizenship, World and Entrepreneurship (Full-Time, Primary, Middle,
High School)
Citizenship, world and entrepreneurship learning area aims to provide children with a
different view of social studies. They start to learn history, geography, civics and
economics with the view to use the information to understand the world around them
better, to become better citizens, to see patterns in history to learn, to understand the
history, geography and politics of the world, their country, local environment and arm
themselves with the necessary tools, research, thinking and doing ability to be future
change makers and entrepreneurs of this world.
Engagement you will have to create with the students
Create a robot with
your class and make
students wonder
about artificial
intelligence,
electronics and the
robot invasion.
Find inspiring stories
and connect the
students to worlds
best tech innovators.
Work with your
students to build
projects that are
ridiculously fun and
also solve real world
problems.
Help your students
create magic with
code. Give them a
language that fuels
their innovation.


Solve large problems
like world peace and
global warming in the
classroom.


Enact historical
figures and events
with the students and
make students
understand &
recreate history.


Travel with students
around the world
virtually and make
them explore
cultures, maps,
landscapes and
history.


Simulate
environments where
students are future
change makers and
leaders.
Sparkling Mindz Global School
Learning Facilitator Open Posi:ons
Additional Job Description: Plan the learning outcomes, create and submit lesson plans, worksheets &
resources for review and iterate to improve
Record and document children's observations and class updates on a daily
basis
Collaborate with the entire team to deliver the learning outcomes in a creative,
connected manner – cross-applying learnings in different areas and co-teaching
classes with peer discussions, mentor feedback as well as inputs from children
Iterate through the lesson plans, delivery of games etc. to improve the learning
process
Interact and keep parents updated on a regular basis
Attend regular team meetings/training sessions on weekdays/weekends
Bring new methods and inspiring ways to deliver classes
You can also reach us at +91 9611110201 if you would like further details. We look
forward to hearing from you!"
Kannada - Freelance Transcriber,"New Delhi, Delhi",EKITAI SOLUTIONS,"₹30,000 - ₹35,000 a month",Organic,"Wells Fargo & Company (NYSE: WFC) is a leading global financial services company headquartered in San Francisco (United States). Wells Fargo has offices in over 30 countries and territories. Our business outside of the U.S. mostly focuses on providing banking services for large corporate, government and financial institution clients. We have worldwide expertise and services to help our customers improve earnings, manage risk, and develop opportunities in the global marketplace. Our global reach offers many opportunities for you to develop a career with Wells Fargo. Join our diverse and inclusive team where you will feel valued and inspired to contribute your unique skills and experience. We are looking for talented people who will put our customers at the center of everything we do. Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.
Market Job Description


About Enterprise Global Services
Enterprise Global Services (EGS) enables global talent capabilities for Wells Fargo Bank NA., by supporting over half of Wells Fargo's business lines and staff functions across Technology, Business Services, Risk Services and Knowledge Services. EGS operates in Hyderabad, Bengaluru and Chennai in India and in Manila, Philippines. Learn more about EGS at our International Careers website.

Wholesale, Wealth & Investment Management Technology
Wholesale, Wealth & Investment Management and Innovation Technology (WWIT) enables the Wholesale and Wealth & Investment Management (WIM) businesses and partners with stakeholders across the company on enabling business transformation through disruptive innovation technologies such as artificial intelligence/machine learning, quantum computing and block chain.
Wholesale Banking helps small, mid-sized, and large commercial and corporate companies succeed financially through businesses that include Commercial Banking, Commercial Real Estate, Corporate and Investment Banking, Investment Portfolio, and Wells Fargo Commercial Capital.
Wealth & Investment Management (WIM) provides a full range of personalized wealth management, investment, and retirement products and services to clients across U.S.-based businesses through WIM’s sub-brands, including Abbot Downing, Wells Fargo Advisors, Wells Fargo Asset Management, Wells Fargo Institutional Retirement & Trust, Wells Fargo Investment Institute, and Wells Fargo Private Bank

About the Role: Team member will work in level 1 team to support Capital Markets applications..

Job Responsibilities
The team works in 3 shifts 24x5 to provide the level1 support.
Team member will have to get acquainted with monitoring tool ITRS Geneos.
The jobs involves monitoring the Applications, Infrastructure, Database and Middleware applications with help of tool.
Should be familiar with the PAC 2000 ticketing tool.
ITIL and Autosys Knowledge would be an added advantage.

Essential Qualifications
Bachelor Degree any discipline.
Experience of more than 0-2 Years in Application Support.
Fluency in English and at least one regional language.
Well Versed with Unix basic commands.
ITIL certified.
Desired Qualifications
ITRS Geneos Tool

Shift Timings :

5:30 AM – 2:30 PM
1:30 PM – 10:30 PM
9:30 PM – 6:30 AM

We Value Diversity
At Wells Fargo, we believe in diversity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national or ethnic origin, age, disability, religion, sexual orientation, gender identity or any other status protected by applicable law. We comply with all applicable laws in every jurisdiction in which we operate."
