Title,Location,Company,Salary,Sponsored,Description
Data Analyst 2,"Bengaluru, Karnataka",PayPal,None,Sponsored,None
Analyst - Analytics,"Mumbai, Maharashtra",Colgate-Palmolive,None,Sponsored,"Scope of responsibility:
Proficiency to complete assignment with multiple steps, guided by defined processes and project requirements.
Focuses primarily on completing short-term goals of a project efficiently and effectively
Functional Skills
Solid technical / data mining skills and ability to work with large volumes of data; extract and manipulate large datasets using tools such as SQL, SAS, Hadoop or other programming/scripting languages (Perl, R, Java/C/C++, etc.) to translate data into business decisions/results
Intermediate statistical skills, proficiency in experimental design, and ability to forecast real-world performance based on samples, simulations and user behavior analytics
Solid knowledge in rule writing systems, development and implementation of complex decision frameworks by coding action rules and decision tables using BAL (Business Action Language), variables creation, RADD files design, regular expression proficiency (see examples in the last tab)
Intermediate capability to create/revamp innovative and technical solutions that require the processing of large datasets across different platforms. Collaborate with other analysts to achieve the optimal level of system automation decisions and minimize human intervention
Intermediate capability to create and own ""Standard Operation Procedures"" and clearly articulate methods and principles of account review and user facing interaction
Strong analytical skills - ability to build quick estimates using back-of-the-envelope analysis, structure (and, if needed, execute) more complex analyses, pull together business cases and forecasts to navigate through multi-dimensional sets of tradeoffs.
Enthusiasm for data-driven problem solving within a fast-paced environment is a must. In addition, experience with Microsoft Excel or statistical software, working knowledge of SQL or other relational database languages, and hands-on experience in data analysis involving large data sets are strongly desired but not absolutely required.
communication skills – risk analysts need to collaborate cross-functionally with product managers, data scientists, business owners, and customers to learn from subject-matter experts, present findings in a clear and concise manner, and reach alignment on how to execute risk strategies.
“Can-do” attitude, team player, energetic personality, ability to work well under pressure in a fast-paced and constantly changing environment to meet deadlines. The successful risk analyst is a self-starter who has the resilience to learn from their mistakes and reach their true potential.
An innate intellectual curiosity, and a willingness to build awareness of current payments industry and risk management best practices. PayPal is constantly innovating by introducing new products and entering new markets, so successful risk analysts on this team must quickly get up speed on new content areas.
BS/BA degree with 2+ years of experience, MS degree with 1+ year of experience
Job_Description_Summary: We are looking for an analyst to develop PayPal’s Risk strategy within the Next-Generation Platforms & Strategic Partners portfolio. This portfolio is comprised of PayPal’s newest leading-edge payments solutions (including new form factors, in-store payments, and payment tokens), as well as customized experiences developed for the company’s highest-priority strategic partnerships. Each Analyst on this team has full ownership of a portfolio of merchants and is responsible for end-to-end management of loss and decline rates. Day-to-day duties include data analysis, monitoring and forecasting, creating the logic for and implementing risk rules and strategies, providing requirements to data scientists and technology teams on attribute, model and platform requirements, and communicating with global stakeholders to ensure we deliver the best possible customer experience while meeting loss rate targets. If you’re interested in working with PayPal’s most interesting payments experiences, then this is the right team for to join!
Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities."
Pharma data analyst,"Hyderabad, Telangana",Judegat,"₹5,000 - ₹6,000 a month",Organic,"Relocation Assistance Offered Within Country
# 81680 - Mumbai, Maharashtra, India
The incumbent will be responsible for supporting Colgate’s data management processes and standard reporting. In addition, conduct first level analysis of reports for Colgate business functions at global, division and hub (country clusters) levels. The incumbent must be an analytic thinker with the ability to work with large data sets, detail-oriented, problem solver, collaborative and customer-oriented (proactive and responsive to stakeholder needs).

Primary Responsibility
Create standard reports per agreed to SLAs and respond to ad hoc requests for reporting and first level analysis.
Supports market data harmonization process set up and business as usual across all CP/Hill’s countries and categories working with external strategic partners as appropriate.
Manage market data validation processes and tools and investigate significant differences from what was previously reported.
Communicate and coordinate with Divisions and subsidiaries as part of investigation and resolution of discrepancies.
Update and manage master data sets.
Assist with change management needs (e.g., training, communications, etc.) as part of roll-out and ongoing support of market data reporting tools and processes.
Ready to work closely with business partners across geographies

Performance / Skill Criteria
Mandatory
Intermediate knowledge of Excel (i.e., standard functions – aggregation, pivots, look ups, etc.)
Intermediate Knowledge of data processing and visualization tools (R, Python & Tableau )
Good understanding of Trade – Direct, Indirect & Retail, Distribution Models
High level of comfort with large sets of data and attend to detail s and passion for accuracy
Problem-solver, with analytic thinking and ability to apply root cause analysis
Ability to prioritize multiple work assignments and meet deadlines

Good to Have
Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Working knowledge of consumer packaged goods industry
Understanding of Colgate’s/Hill’s processes, and tools supporting analytics (for internal candidates)
Willingness and ability to experiment with new tools and techniques
Good facilitation and project management skills
Ability to maintain personal composure and tactfully handle difficult situations.

Required Experience / Education
Bachelor of Engineering / Sciences
4+ years of experience
Proficient in Reporting and/or Budgeting

Equal Opportunity Employer
Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.
Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.
Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.
For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education program, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.
Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation."
Data Analyst,India,Baker Hughes,None,Organic,"Urgent requirement for a pharma fresher. Work from home for short time period. Good pharma understand and excel, internet browsing are mandatory skills.
Job Type: Part-time
Salary: ₹5,000.00 to ₹6,000.00 /month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Benefits:
Work from home
Industry:
Scientific Research & Development
Work Remotely:
Yes"
Data Analyst,India,GivingForce Limited,None,Organic,"Job Requirements

At Baker Hughes, we are building a Talent Community of highly talented and motivated professionals for future job roles. If you match the described job role and are as excited as we are to have you on-board in future, please hit the apply button to be a part of our Talent Community.
As a member of our talent community, you will be amongst the first to get exclusive news about Baker Hughes, various cool projects we are working on, our employee success stories and new job opportunities you may be interested in.
Role Summary:
The Data Analyst is a vital member of the PPS team, as this role is responsible for the production of pipeline inspection reports delivered to clients across the globe. Delivering high quality, accurate technical reports based on thorough analysis is the cornerstone of PII’s business and is integral in ensuring the safe operating of oil and gas pipelines around the world.
Although the skills required to be a fully certified Data Analyst in the Pipeline Inspection industry are developed over time, the ideal candidate is a persistent problem solver who enjoys data intensive, analytical work. This individual must be process oriented, as adherence to industry standards is required, and should also be deeply committed to quality and accuracy at a highly detailed level.
Additionally, those most successful in this career tend to be adept at managing workloads and resources, have a participative, team approach, and have the ability to communicate well with others in their immediate work environment.
Data Analysts are ultimately responsible for the organization and control of pipeline inspection data, comprehensive analysis of that data, and for facilitating the on-time delivery of the Pipeline Inspection report to clients. In certain cases, this will include post-report client support.
Essential Responsibilities:
In this role Data Analyst VIII, you will:
Six-Months to One Year Post Hire:
Achievement of industry certifications allowing for full scale data analysis
Flawless execution and on-time delivery of data analysis
Knowledge of data preparation and processing
Pipe-book production
Integration of any supplementary data
Application of client profiles to organize and report In Line Inspection results
Identifies quality or productivity issues and potential solutions
Report to various levels of management on project milestones
One to Two Years Post Hire:
Data preparation, processing, assessment, and confirmation of acceptable data
Interpretation and quantification of signal data
Detailed defect sizing assessment
Training, coaching and mentoring newer analysts
Ensuring the consistency of work for other analysts, when acting as the Lead Analyst on a specific report
Identifies quality or productivity issues and potential solutions
Provision of pre and post-sales support service for reporting information
Preliminary and Final report production
Quality check of pipeline listing and report content
Report to various levels of management on project milestones
Examples of Key Deliverables and Performance Indicators:
On-time delivery of reports
Report First Time Yield (% of time the first report is the final report)
Procedural compliance
Report cycle time / hours per km
Competencies
Effective Problem Solver
Detail and Process Oriented with deep commitment to quality
Ability to persevere during periods of high work volume
Drives for results and ensures deliverables are met
Composed with the ability to work well with others to meet deadlines in a fast paced work environment


Work Experience

Qualifications/Requirements:
High School Diploma / GED from an accredited school or institution
Minimum 6 months of experience in a Data Analytics or similar analytics role
Desired Characteristics:
Associate’s Degree or two-year technical Degree from an accredited school or institution preferred
Being proficient in Microsoft Excel and Windows SQL
Detailed, analytical, process orientated approach
Ability to drive issues to a robust closure in a timely manner
Excellent interpersonal, communication and facilitation skills
Strong analytical / experimental / statistical skills
Please remember that joining the Talent Community is not an application for any specific job at Baker Hughes but to have the privilege of being considered for an opportunity that suits your profile on priority."
Data Analyst / Data Scientist with Tableau,"Thiruvananthapuram, Kerala",Sequoia Applied Technologies,None,Organic,"Data Analyst
We are looking for talented engineers to shape unique, user-centric product experiences. The ideal candidate should have the ability to work with agile teams of developers, designers and customers.
The Job location is Pune, India. The candidate is required to work closely with the development teams in India and the UK.
About GivingForce
GivingForce is a software product company headquartered in London, UK. This software is used by global corporations to engage employees with charitable activities. GivingForce aims at identifying and removing barriers that would otherwise prevent corporations from engaging in corporate responsibility programmes. We have pioneered the development of a system by bringing all giving back activities to one place including volunteering, payroll giving, company matching and corporate donations amongst others. So far we have processed over 1.25 million volunteer hours and 250 million pounds in donations.

Main responsibilities:
Filter and “clean” data by reviewing pre-existing reports to locate and correct code problems
Support initiatives for data integrity and optimisation
Interpret data, analyse results using statistical techniques and help developing reports and analysis
Troubleshoot database environment and reports
Evaluate changes and updates to production systems/databases
Training end-users on new reports and dashboards
Providing technical expertise in data storage structures, data mining, and data cleansing
Identify, analyse, and interpret trends or patterns in complex data sets
Work with management to prioritise business and information needs
Locate and define new process improvement opportunities
Collaborate with other team members and stakeholders
Education and experience:
Degree in Mathematics, Information Management or Statistics, Computer Science, Engineering or a related subject having first-class
5+ years of experience as Data Analyst
The candidate must have the following technical skills:
Proven working experience as a data analyst or business data analyst
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Technical expertise regarding data models, data mining and segmentation techniques
Strong knowledge of and experience with data analytics and reporting platforms (e.g. Tableau, Looker BI, Power BI or other similar platforms), databases (MySQL, Oracle, SQL Server etc)
Demonstrated experience in handling large data sets and relational databases
Ability to translate technical requirements into non-technical, lay terms
Creative approach to problem-solving with the ability to focus on details while maintaining the “big picture” view
Open for learning new technologies and domain
Strong verbal and written communication skills, analytical skills and the ability to learn quickly
Time management skills and the ability to work under serious deadlines
We offer:
Great learning environment
Flexible work hours
Work from home option
Health Insurance
Opportunity for progression in the firm
Salary no bar for the right candidate
If you’re interested, we look forward to hearing from you!
Please apply or send any questions to careers.india@givingforce.com"
Market Research Data Analyst,"Bengaluru, Karnataka",Robas Research,None,Organic,"*Job role: *
As a data analyst, you will be responsible for compiling actionable insights from data and assisting program. 
*Responsibilities: *
Hands on experience with data, analytics projects
2+ years of hands on SQL for data analysis and Tableau 
2+ years of working directly with business users to develop metrics/KPI definitions
Familiar with database technologies and tools (SQL/R/SAS/JMP etc.), data warehousing, transformation and processing. Work experience with real data for customer insights, business and market analysis will be advantageous.
Experience with text analytics, data mining and social media analytics.
Statistical knowledge in standard techniques: Logistic Regression, Classification models, Cluster Analysis, Neural Networks, Random Forests, Ensembles, etc.
Filter and cleanse unstructured (or ambiguous) data into usable data sets that can be analyzed to extract insights and improve business processes
Identify new internal and external data sources to support analytics initiatives and work with appropriate partners to absorb the data into new or existing data infrastructure
*Requirements: *
Bachelors or Masters in a quantitative field (such as Engineering, Statistics, Math, Economics, or Computer Science with Modeling/Data Science), preferably with work experience of over [2] years.
Tableau & SQL experience in mandatory
Ability to program in any high level language is required. Familiarity with R and statistical packages are preferred.
Proven problem solving and debugging skills.
Job Type: Full-time"
Data Analyst,"Pune, Maharashtra",QuinStreet Software,"₹7,00,000 - ₹10,00,000 a year",Organic,"KEY RESPONSIBILITIES:
Highly refined analytic and communication skills
The ability to manage multiple tasks simultaneously
Explaining the results to research executives
Helping research executives present the findings in a way that the client can understand and use.
CANDIDATE REQUIREMENTS:
0 – 2 years of relevant work experience.

Please email us at careers@ro-bas.com"
C12 - CDO Data Quality Analyst,"Mumbai, Maharashtra",CITI,None,Organic,"We are looking for an incredibly smart, dynamic and strategic Data Analyst to develop data-driven insights that enables our teams to maximize profitability while improving customer relationships. This role will create and execute reports for various product lines. This person will be extremely detailed oriented, client focused, with the ability to time manage to ensure all reporting is delivered on time and accurately. You will use data mining and statistical methods to extract valuable insights from our data that lead to maximizing ROI.
Qualifications
A bachelors or masters degree in quantitative major like Statistics, Mathematics, Operations Research, Physics, Computer Science or related
3+ years of experience in an analytical role, applying statistical methods
Strong applied analytics: proven business and analysis skills
Strong and persuasive communication skills: exceptional visualization, verbal and written communication skills that have helped expand your analytical influence
Proficiency in MS Excel and familiarity with database systems (Oracle, SQL Server, etc)
Tableau and SQL experience is a plus
Job Type: Full-time
Salary: ₹700,000.00 to ₹1,000,000.00 /year
Experience:
total work: 3 years (Required)
Reporting: 1 year (Preferred)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19"
Data Analyst,India,Credencys Solutions,None,Organic,"Citi is a leading global financial services company having 200 million customer accounts. Citi does business in more than 100 countries, providing consumers, corporations, governments and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, and wealth management.
The Global Data Quality Analyst is part of the Data Management Operations group under Citi’s Chief Data Office (CDO) organization. This role will be responsible for leading and managing Data Quality Scorecard stewardship, operational oversight, enforcement and execution of the standard DQ operating model globally. He / She will work closely with key partners across Citi organization.
Responsibilities:
Support, lead and manage data quality scorecard stewardship and DQ operating model related activities for all supported Citi system or applications by CDO Data Management Operations team.
Support and drive the design, management, enforcement and continuous improvement of the Data Quality Operating Model and oversight functions. This will include the execution of the Data Quality Operating Model (DQOM) Proof of Concept, support definition of the (global) Roles and Responsibilities, required operational control points as documented in the Management Control Assessment (MCA) and required Blue Works document.
Manage and support the execution of Data Quality Production Support activities as defined in the global operating model and related operating calendar. This includes investigation, driving resolution, managing necessary escalation to address production data quality issues raised during the reporting cycle.
Ensure consistent and timely performance of global monitoring and communication activities (providing updates, status and support) on GENESIS Data Quality Readiness status vs KPIs and execution SLAs to various business groups, across senior management and key stakeholders.
Management and escalation of issues impacting “production” GENESIS Data Quality Readiness to relevant senior management workstream managers across organizations.
Enforce and foster collaboration and coordination of resolution with relevant partners in CDO, Technology (GFTS), as well as, Finance and Risk as required.
Drive initiatives and projects to continuously support process improvement thru automation and standardization, expanding data consumption requirements and regulatory commitments.
Manage both senior and middle management level interaction of Production Data Quality Support with the Data Quality Feeder and Issue Management & Resolution (IMR) processes across organization.
Defines detailed business data requirements and documenting them.
Documents platform processes, procedures and training materials.
Qualifications
12+ years relevant work experience in large financial services, consulting, shared services related or similar industry.
B.COM/B.E or equivalent degree required, with intermediate to advance understanding of financial and regulatory reporting process and / or Data Quality stewardship related is preferred.
Extensive experience in leading and managing large size data quality or similar operational related processes at global level is preferred.
Demonstrated implementation and project management, leadership and execution skills.
Outstanding written and oral communication, influencing and presentation skills – must be able to present and influence across organization level and functions.
Aptitude to translate strategy into execution in a complex and cross-functional organization.
A self-starter with ability to independently manage work and drive multiple deliverables concurrently.
Knowledge of Citi’s financial and risk systems, financial and regulatory reporting processes and organization is preferred.
Strong subject matter expertise regarding technology application control disciplines and technology infrastructure knowledge, with a sound understanding of the financial services provided by Citi.
Demonstrated capability and maturity to work in an individual capacity and must proactively seek out ways to enhance the mission and identify new data analysis needs.
Demonstrates experience in managing teams and managing integrated internal audit and assurance delivery within a matrix reporting environment.
Able to set priorities and discuss experience in adapting to emergent or dynamic requirements.
High proficiency in MS Office Products (Excel, Word, PowerPoint).
Knowledge of SQL is preferred and a plus.
High caliber team player with good judgment, flexibility and productivity with good track record in establishing partnership and team work.
Quick learner, customer focused with ability to multi-task and work in a fast paced changing environment.
Forward looking with ability to mitigate and overcome any challenging roadblocks. Must have “can do” attitude.
Ability to work well under pressure and manage to tight deadlines or unexpected changes in expectations or requirements in a heavily matrix organization.
Self-starter and with demonstrated leadership skill.
-
Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - IN
-
Time Type :Full time
-
Citi is an equal opportunity and affirmative action employer.
Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity .
To view the ""EEO is the Law"" poster . To view the EEO is the Law Supplement .
To view the EEO Policy Statement .
To view the Pay Transparency Posting ."
