Title,Location,Company,Salary,Sponsored,Description
Data Engineer,"Mumbai, Maharashtra",Canary Health Technologies,,Sponsored,None
"MTS 1, Software Engineer","Chennai, Tamil Nadu",PayPal,,Sponsored,"Canary Health Technologies’ builds cutting edge diagnostic products that help
spot diseases earlier and help people be healthier, happier, and live longer.
About the role
We are looking for a Data Engineer to join our growing team of analytics experts. You will be
responsible for expanding and optimizing our data and data pipeline architecture, helping to
deploy and optimize ML models, and optimizing data flow and collection for cross functional
teams. The ideal candidate is an experienced data pipeline builder and data wrangler with
experience in AWS ecosystems who enjoys optimizing data systems and building them from the
ground up. The Data Engineer will support our software developers, database architects, data
analysts and data scientists on data initiatives and will ensure compliant, secure, optimal data
delivery architecture is consistent throughout ongoing projects. We are looking for someone who
is self-directed and comfortable supporting the data needs of multiple teams, systems and
products. The right candidate will be excited by the prospect of optimizing and/or re-designing
our company’s data architecture to support our next generation of products and data initiatives.
You will join an extremely dedicated, passionate, high-output team of colleagues who are all
focused on building great products that improve outcomes and saving lives.
Requirements
Create and maintain optimal data pipeline architectures
Assemble large, complex data sets that meet functional / non-functional business
requirements
Identify, design, and implement internal process improvements: automating manual
processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc
Build the infrastructure required for optimal extraction, transformation, and loading of data
from a wide variety of data sources using SQL and AWS ‘big data’ technologies
Build analytics tools that utilize the data pipeline to provide actionable insights into
customer acquisition, operational efficiency and other key business performance metrics
Keep our data separated and secure across national boundaries through multiple data
centers and AWS regions
Create data tools for analytics and data scientist team members that assist them in
building and optimizing our product into an innovative industry leader
Work with data and analytics experts to strive for greater functionality in our data systems
At least 5 years experience building and optimizing ‘big data’ data pipelines, architectures and data sets ideally in an AWS ecosystem
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement
Strong analytic skills related to working with unstructured datasets
Build processes supporting data transformation, data structures, metadata, dependency and workload management
A successful history of manipulating, processing and extracting value from large
disconnected datasets
Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores
Strong project management and organizational skills
Experience supporting and working with cross-functional teams in a dynamic environment
We are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information
Systems or another quantitative field. They should also have experience using the
following software/tools:
Experience with big data tools: Hadoop, Spark, Kafka, etc.
Experience with relational SQL and NoSQL databases, including Postgres and Cassandra.
Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc.
Experience with AWS cloud services: EC2, EMR, RDS, Redshift
Experience with stream-processing systems: Storm, Spark-Streaming, etc.
Experience with object-oriented/object function scripting languages: Python, Java,
C++, Scala, etc.
Job Type: Full-time
Salary: ₹400,000.00 to ₹500,000.00 /year
Experience:
total work: 3 years (Preferred)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19"
Data Science Engineer,India,Excelict Technology Consulting,,Organic,"Responsibilities include,
Design and develop highly scalable and performant applications for mission-critical systems
Writing clean, functional code as well as test automation on the front-end and back-end
Review/refactor, design and code to continuously improve the deliverable quality
Work with product managers, architect development teams to deliver high quality software solutions
Design, develop and maintain client-side and server-side software components including web applications, webservices/REST API, real-time systems and batches
Build features and applications with a mobile first design
Prototype ideas quickly using cutting edge technologies
Provide technical solutions to meet business requirements
Actively mentor and coach engineers on technology and engineering aspects
Collaborate effectively with cross-functional teams
Requirements:
Bachelors/Masters in computer science with 8 to 10 years of experience in Software Development
Experience in full life cycle of software development including software analysis, design, development, testing and maintenance
Experience on common stacks across front-end and back-end tech stacks
Experience on multiple front-end languages and libraries (HTML/CSS, JavaScript, React)
Experience on multiple back-end technologies (node.js, Java, Spring)
Experience working on webservices/REST API, event driven real-time systems and batch components
Experience with mobile application and chatbot development is good to have.
Knowledge with SQL/NoSQL databases (e.g. Oracle, MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design
Proven expertise in software craftmanship, code quality and refactoring
Expertise in secure coding practices and software engineering best practices
Strong skill in data structure and algorithm
Knowledge with cross-browser, cross-platform, accessibility testing
Experience with Continuous Integration and Delivery
Experience with unit testing/functional automation testing and tools
Self-motivated individual with ability to adapt to fast-paced environment
Strong Problem-solving, analytical ability
Excellent communication and soft skills
Job_Description_Summary: We are looking for a full stack engineer with experience in building high-performing, scalable, enterprise-grade applications. You'll be part of a cross-functional team that's responsible for the full software development life cycle, from conception to deployment and further. As a full stack developer, you should be passionate about bringing great experiences to life and comfortable working with front-end and back-end tech stacks, development frameworks and third-party libraries.
Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities."
Data Engineer,"Bengaluru, Karnataka",Twilio,,Organic,"With proven academic background (MSc or PhD preferred) in a quantitative field – computer science, physics, mathematics, bioinformatics or similar. Professional experience working with large data sets in a business environment. Thorough understanding of algorithms, scalability and the trade-offs involved in Big Data implementations. The ability to extract data from (MySQL) databases easily, knowledge of Excel pivot tables and how to produce basic data visualisations. The ability to analyse A/B test results and take the lead on our company’s Google Analytics account. Coding abilities and sound reasoning to help our team to make the right technical decisions. Knowledge of collaborative filtering, probabilistic modeling, (spatial) databases, usability engineering. The ability to transform data into a different format in order to properly analyse it, like ETL work or scripting.
Send your resumes in word format to jobs@excelict.com with (position + technology + years of exp) in subject"
Data Engineer (asst Manager I-band),India,Vodafone,,Organic,"Because you belong at Twilio.

The Who, What, Why and Where

Twilio is growing rapidly and seeking Data Engineers at multiple levels to be a key member of the Consumer Trust Team in Bangalore, India. You will be joining one of the first teams of engineers in our new Bangalore office, with an opportunity to help define our technical and team culture in India. You will also help us build solutions that prevent fraud and abuse, ensuring that Twilio is the leader in trusted communications. A successful candidate will be a self-starter, embody a growth mindset, collaborate effectively, can mentor junior engineers and operate highly resilient services.

Who?

Twilio is looking for a strong data engineer who lives the Twilio Magic ( https://www.twilio.com/company/values ) and has a demonstrated track record of working with data, specifically; sourcing and integrating data from multiple disparate backend data sources, developing reporting infrastructures and applying a deep analytics background to assess business performance and deliver actionable insights to improve efficiency and increase productivity. You should also have::

BA/BS in Computer Science, Engineering or related field
Relevant work experience in a role requiring application of analytic skills to integrate data into operational planning/business planning
Knowledge and expertise with database modeling and data warehousing principles
Fluent in writing and optimizing SQL, data mining using SQL with demonstrated strength in writing complex, high-optimized queries across large data sets,
Familiar with AWS services, especially S3, Redshift, big data services and DevOps tools
Hands on experience with Lucene / SOLR / ElasticSearch, Kafka, Google Big Query
Proficiency in at least one scripting language, Python, R, or similar.
Advanced ability to draw insights from data and clearly communicate them (verbal/written) to the stakeholders and senior management as required
Demonstrated ability to manage and prioritize workload and roadmaps
Excellent problem solving, critical thinking, and communication skills.
Strong belief in automation over toil.
Nice to have:
Hands-on experience with Big Data technologies (e.g Hadoop, Hive, Spark) is a big plus
Extensive knowledge of BI and Visualization platforms i.e. Tableau and AWS Quicksight
Strong expertise in troubleshooting complex production issues.
What?

As a Data Engineer you will:
Design, develop, and maintain data pipelines, warehouses, and reporting systems to support Twilio's products, including fraud and abuse detection systems/ tools.
Design, develop, and maintain data pipelines, warehouses, and reporting systems to support Twilio's product engineering operational data: incidents, deployments, performance, utilization, defects, change failure rate, test data, infrastructure costs.
Build the data products that technical users will depend on for business intelligence and ad-hoc access.
Build scalable solutions and self-serve platforms that will provide data and KPIs to inform business decision making.
Identify, develop, manage, and execute analyses to uncover areas of opportunity and present written business recommendations that will help improve the controllership and help achieve the goals of the team.
Develop and maintain documentation relating to all assigned systems and projects
Develop high-trust relationships and processes with partner teams and stakeholders to identify and address insight requirements
Participate in workstreams planning process including inception, technical design, development, testing and delivery of BI solutions.
Be able to adapt to prioritizing multiple issues in a high-pressure environment.
Be able to understand complex architectures and be comfortable working with multiple teams.
Why?

Twilio has democratized communications channels like voice, text, chat, and video by virtualizing the world's telecommunications infrastructure through APIs that are simple enough for any developer to use, yet robust enough to power the world's most demanding applications.

The Consumer Trust Team is central to Twilio's continued growth. Our mission is to prevent consumer harm by offering products and services that protect our customers and help them authenticate their users. We also ensure that every call, email and message that is made using our service is wanted, safe and legal. To do this we need to continue to develop and evolve our products and services and ensure they are able to scale; driving Twilio to new heights of scale.

Twilio is a company that is empowering the world's developers with modern communication in order to build better applications. Twilio is truly unique; we are a company committed to your growth, your learning, your development, and your entire employee experience. We only win when our employees succeed and we're dedicated to helping you develop your strengths. We have a cultural foundation built on diversity, inclusion, and innovation and we want you and your ideas to thrive at Twilio.

Where?

This position will be located in our office in Bangalore, India. You will enjoy our office perks: catered meals, snacks, game room, ergonomic desks, massages, bi-weekly All Hands and more. What you will also get to experience is a company that believes in small teams for maximum impact; seeks well-rounded talent to ensure a full perspective on our customers' experience, understands that this is a marathon, not a sprint; that continuously and purposefully builds an inclusive culture where everyone is able to do and be the best version of themselves.

About Us

Millions of developers around the world have used Twilio to unlock the magic of communications to improve any human experience. Twilio has democratized communications channels like voice, text, chat, video and email by virtualizing the world's communications infrastructure through APIs that are simple enough for any developer to use, yet robust enough to power the world's most demanding applications. By making communications a part of every software developer's toolkit, Twilio is enabling innovators across every industry — from emerging leaders to the world's largest organizations — to reinvent how companies engage with their customers."
Data Engineer,"Bengaluru, Karnataka",McAfee,,Organic,"Description
The Big Data Analytics Advisor carries out activities that support the team in proving actionable insights through analyses of large structured and unstructured datasets from unrelated sources. Helping to ensure the delivery of future predictions based on previous data patterns to provide solutions to business problems and requirements.The Big Data Analytics Advisor assists the team in providing business decisions using data science and statistical analysis through the wide ranges of data available to them, ensuring scalability in order to deliver the Big Data strategy and achieve business objectives.Typically reports to the Big Data Analytics Manager.
Job Responsibilities
Supports the team to deliver activities related to developing key predictive models and products;
Delivers tasks to support colleagues in providing deep technical analytical and data expertise to the business and other Data Scientists;
Follows related processes to deliver tasks to support monitoring and optimising performance of developed models by driving experiments, benchmarking, etc;
Supports interactions with stakeholders across the business and may offer basic advice;
Performs other job-related duties or tasks defined by the supervisor or resulting from assigned agendas;
Skills
Data Modelling
Data Visualisation
Data Analytics and Insights
Data Management and Transformation
AI - Deep and Machine Learning"
Enterprise Engineer (Data/Voice),"Mumbai, Maharashtra",Reliance Jio Infocomm Limited,,Organic,"Job Title:
Data Engineer

Location:
India, Bangalore
Role Overview:
The Data Engineer is responsible for all aspects of the design, development and delivery of data and database solutions.

Company Overview
From device to cloud, McAfee provides market-leading cybersecurity solutions for both business and consumers. We help businesses orchestrate cyber environments that are truly integrated, where protection, detection, and correction of security threats happen simultaneously. For consumers, McAfee secures your devices against viruses, malware, and other threats, both at home and away. We want to continue to shape the future of cybersecurity by working together to build best in class products and solutions.
About Role :
Design, develop and deliver / implement data solutions to include: architecture design, prototyping of concepts to proof of concept, development of standards, design and development of test plans, code and module design, development and testing, data solution debugging, design and implementation of a solution that follows efficient design techniques and development that meets and exceeds the intent of the design of the data solution.
Effectively manage day-to-day tasks / activities in coordination with a team of developers to effectively meet the deliverables and schedule of a data solution component within a larger application project.
Lend support to various business and technology teams as necessary during design, development and delivery to ensure solid, scalable, robust solutions.
Support and maintain data and database systems to meet business delivery specifications and needs.
About You :
Experience Minimum of 5 years experience in core database design and query writing
Design, develop and implement database systems based on project requirements.
Optimize database systems for performance efficiency.
Prepare design specifications and functional documentations for assigned database projects. Perform space management and capacity planning for database systems.
Ensure data quality and integrity in databases.
Identify any issues related to database performance and provide corrective measures.
Create complex functions, scripts, stored procedures and triggers to support application development.
Participate in database design and architecture to support application development projects. Perform data back- up and archival on regular basis.
Test databases and perform bug fixes.
Troubleshoot database related issues in a timely fashion.
Develop security procedures to protect databases from unauthorized usage.
Evaluate existing database and recommend improvements for performance efficiency. Develop best practices for database design and development activities.
Must have strong knowledge on MS- SQL 2012/ 16
Must have strong understanding of Database methodology, Data Analysis, advanced SQL Queries is required.
Must have expertise and experience of SSIS ETL (Package building, error handling), Cubes and Reports using SQL Server preferably (2012, 2016).
Must be comfortable in writing Stored procedures & complex queries.
Proficient in implementing & enforcing T- SQL standards & performs code check sent by the development team.
Strong in putting standards in place to ensure the database design & code is produced with proper integrity & performance & readability.
Strong database optimization skills including query optimization, indexing, tracing and partitioning.
Performance tuning/ testing, index analysis and interpreting SQL execution plan trees
Ability to document processes Experience with performance tuning and troubleshooting Business Intelligence and reporting experience is a plus Experience with NoSQL databases (e.g., MongoDB) is a plus
Company Benefits and Perks:
We work hard to embrace diversity and inclusion and encourage everyone at McAfee to bring their authentic selves to work every day. We offer a variety of social programs, flexible work hours and family-friendly benefits to all of our employees.
Pension and Retirement Plans
Medical, Dental and Vision Coverage
Paid Time Off
Paid Parental Leave
Support for Community Involvement
We're serious about our commitment to diversity which is why McAfee prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.
Job Type:
Experienced Hire
Primary Location:
India, Bangalore

Additional Locations:"
Data Engineer- Intern,"Bengaluru, Karnataka",Postdot Technologies,,Organic,"Job Responsibilities :

1. End to end responsible for the incident and follow up on TT from
reported till incident resolved and TT closed.
2. Handling escalated cases & resolved within defined MTTR.
3. Coordination with other work group for resolution of identify
problem.
4. To analyzed the performance of customer circuits and initiate actions
to improve the availability.
5. To maintain & track customer KPI’s & TT.
6. Providing support and coordinating with the customer, field and NHQ
in the fault rectification.
7. Interaction with NPE, NPO and Circle Operations team to take
corrective actions required for customer circuits.
8. Prepare SOP / MOP for used cases & troubleshooting guides for
different services.
9. To guide & provide training to L1 engineers for configurations, fault
management and troubleshooting.
Education Requirement :

BE / B Tech
Experience Requirement :

4 to 12 years
Skills & Competencies :

Data Network Operation & Management
Audit management
SLA and Process Compliances
Analytical Skills
Telecom Switching and Converges Core Operations
Location Map : Enterprise NOC,Mumbai RCP,Maharashtra"
BI Data Engineer,"Hyderabad, Telangana",SumTotal,,Organic,"requirements
You are a college fresher or a student in final year of college.
You love everything about data. Not just the technical aspects, but the use-cases too.
You have good understanding of at least one programming language.
You know the basics and internal workings of at least one database/data warehouse/data lake and understood the workings in depth. (You get extra credit to know difference between these three : -) )
A fascination towards building things around data and seriously considering that as a full-time career in future.
You care about what you build. Every individual is expected to pay attention to detail, and learn after their first mistake.

In Cover letter donâ€™t forget to add a data related project that you have worked on in brief.
description

Postman is the only complete API development environment. Today we have 10 million developers and over 500K companies using our comprehensive set of built-in tools to support every stage of the API life cycle. With Postman you can design, mock, debug, test, document, monitor, and publish your APIs all in one place.

We are looking for a Data engineer - intern in Data team to help us scale the existing infrastructure and in parallel work on next generation data tools including data scrapping, machine learning infrastructure and data validation systems.

Data team at Postman acts as a central function, catering to the needs of the overall organisation. More than half of the organisation is currently active on our data tools, hence data engineers and data analysts work together to cater to these forever increasing needs. We are a lean team which works autonomously by delegating and trusting every member to take things to completion.

Note: This is a 5-6 months in-office paid internship. You will be directly reporting to Engineering Manager of Data team.

Responsibilities

Be an amazing learner on a day-to-day basis.
Build and take ownership of new integrations with a variety of tools. You will be continuously scaling up yourself and your systems.
While building new systems in parallel contribute to existing ELT (extract, load and transform) data pipelines.
Own and deliver high performing systems (not just pipelines) and help the team scale them up, to endure ever increasing traffic.
Communicate effectively with data consumers to fine-tune data platform systems (existing or new).
benefits

We offer a competitive salary and excellent benefits. You will have a chance to scale up into a full-time role with us based on your performance. What you will also get to experience is a company that believes in autonomous small teams for maximum impact; that strives for organisational growth to align with that of the individual; that continuously and purposefully builds an inclusive culture where everyone is able to do and be the best version of themselves and where ideas are encouraged from anyone and everyone. We seek people who naturally demonstrate our values, who not only understand the challenge but can also solve this for the rest of the world.

Be a part of something big."
Senior Civil Engineer,"Mahad, Maharashtra",Vishva Associates,,Organic,"BI Data Engineer
Are you passionate about learning and intellectually curious? Do you thrive in a fast-paced, innovative work environment where team members hold themselves and others accountable? Are you energized by trying new things, have an agile mindset, and enjoy making an impact? Is working for a purpose driven organization important to you? If the answers to these questions are a resounding YES, then read on!
Skillsoft is the global leader in helping businesses solve their biggest challenge – attracting, motivating, and retaining world-class talent. Our team is recognized for cutting-edge digital learning and human capital management solutions. Trusted by the world's leading organizations, including 65% of the Fortune 500, we train more professionals than any other company in the world. Our 100,000+ courses, videos, and books are accessed over 130 million times every month, in 160 countries and 29 languages. At Skillsoft, we believe that knowledge is the fuel for innovation and innovation is the fuel for business growth.
Skillsoft’s SumTotal Strategic Business Unit has nearly 30 years of learning and HR software experience. High-performing organizations recognize that learning and development are core to their business success and overall talent management and workforce initiatives. That’s why more than 3,500 organizations, including many of Fortune’s “Best Places to Work,” rely on SumTotal’s solutions to enable their employees.
We are all about ""Making Work Matter."" With over 2,000 employees around the world, we are always looking for amazing talent!
Overview:
Reporting to the VP, Business Intelligence; the Data Engineer, Business Intelligence will support the data organization, structure and processing of the central data warehouse through maintaining and evolving the pipeline of data into the data warehouse.
The Data Engineer, Business Intelligence is a key member of the Business Intelligence team, accountable for accurate ingestion and the development of information architecture to support enterprise business needs and exploratory, statistical and predictive analytics.
Opportunity Highlights:
Lead the identification of business data requirements, create data models and design processes that align to the business logic and regularly communicate with business stakeholders to ensure delivery meets business needs.
Design ETL processes, develop source-to-target mappings/integration workflows and manage load processes to support regular and ad hoc activities considering the needs of down-stream systems, functions and visualizations.
Perform routine testing of own and others work to guarantee accurate, complete processes that support business needs. Awareness and compliance with all organizational development standards, industry best practices and business, security, privacy, and retention requirements.
Collaborate with other engineers through active participation in code reviews and challenge the team to deliver with precision, consistency and speed.
Routinely monitor performance, diagnose and implement tuning/optimization strategies to guarantee a highly efficient data structure.
Document data flows and technical designs to ensure compliance with organization, business and security best practices.
Regularly monitor timelines and workload. Ensure delivery promises are met or exceeded.
Ability and willingness to support the BI mission through learning new technologies and supporting other projects as needed.
Skills & Qualifications:
Commitment to Excellence – Demonstrates resilience and determination to deliver with high standards. Exhibits attention to detail and a well-organized approach to problem solving.
Structured thinking – Skilled at setting out ideas and thoughts in a logical pattern. Ability to develop process documentation, technical manuals and instructions.
Methodical approach – Practiced at breaking complex tasks into manageable segments and identify mitigation strategies to possible problems or stumbling blocks.
Logical Reasoning – Ability to interpret information and assess resources against business needs. Highly skilled at managing project workloads and priorities to meet deliverables.
Results Oriented - Exhibits ownership and accountability. Develops challenging but achievable goals.
Technical Expertise - Highly proficient in data manipulation and analysis applications (i.e. SSIS,T-SQL, SQL Server, R, SAS, Tableau, etc.). Highly proficient in Microsoft Office suite of applications.
Customer Focused – Personally demonstrated that both external and internal customers are a high priority by identifying and responding to their needs in a timely and efficient manner.
Creativity – Recognizes opportunities and initiates actions to capitalize on them by looking for a new and productive ways to make an impact.
Innovative – Embraces and champions new ideas and encourages others to do likewise.
Education and Certifications
5-7 years of proven SQL Server Experience building and supporting Data Warehouse structures and supporting end user reporting tools such as Microsoft SQL Server Reporting Services and Tableau
Success Qualities:
Adaptable and Agile. Responds quickly to the changing needs of the business and is resilient in the face of setbacks or adversity.
Confident & Audacious Achiever. Champions breakthrough initiatives and holds him/herself and others accountable for delivering. Enjoys working hard; is action-oriented and full of energy for the things he/she sees as challenging; not fearful of acting without over-analysis.
Entrepreneurial Spirit with Learner’s Mindset. Is uncomfortable with simply maintaining ""status quo"" and is intellectually curious and demanding of excellence and continuous improvement.
Committed to our Collective Purpose. Leverages cross functional collaboration to solve complex business issues and drive greater results.
Authentic & Customer Centric. Never compromises integrity to achieve results while constantly being mindful of creating a positive customer experience both internally and externally. Adheres to an uncompromising set of core values and beliefs during both good and bad times; practices what he/she preaches. Acts with the highest standards of conduct and is seen as a direct, truthful individual.
Thank you for taking the time to learn more about us.
If this opportunity intrigues you, we'd love for you to apply!
NOTE TO EMPLOYMENT AGENCIES: We value the partnerships we have built with our preferred vendors. Skillsoft does not accept unsolicited resumes from employment agencies. All resumes submitted by employment agencies directly to any Skillsoft employee or hiring manager in any form without a signed Skillsoft Employment Agency Agreement on file and search engagement for that position will be deemed unsolicited in nature. No fee will be paid in the event the candidate is subsequently hired as a result of the referral or through other means."
