Title,Location,Company,Salary,Sponsored,Description
Assistant Manager - Analytics,"Mumbai, Maharashtra",Colgate-Palmolive,,Sponsored,"Relocation Assistance Offered Within Country
# 78782 - Mumbai, Maharashtra, India

The incumbent will have to support functions across the organization to drive growth through innovative solutions. Should be adept at using large databases, strong experience in applying variety of data mining methods, statistical model and tools. The incumbent must have effective written and verbal communication with business stakeholders, internal IT partners and external strategic business partners. In general, the incumbent must be detail-oriented, problem solver, collaborative and customer-oriented (proactive and responsive to stakeholder needs).

Primary Accountability
Mine and analyze data from company databases to drive optimization
To develop end to end business solutions from data mining to statistical modeling
Study large amount of data to discover trends and patterns
Mine data through various technologies like BigQuery and SQL
Present insights in easy to interpret way
Develop visualization (tableau, data studio) leveraging large datasets
Ready to work collaboratively with business partners across geographies

Skills Criteria
Mandatory
Intermediate knowledge of data mining tools like R, R Shiny & Python
Hands on Knowledge of Pricing and Promotion as well as Market Mix Models
Prior Experience in delivering Pricing and Promotion model results to end client
Ability to explain & interpret statistical output results and derive business insights
Ability to create a visualization report based on the large and multiple datasets

Good to Have
Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Working knowledge of consumer packaged goods industry
Good facilitation and project management skills
Knowledge of Google products (BigQuery, data studio, coda, colab etc).

Required Education and Experience
Msc in Maths/Statistics/Economics or MBA
8+ years of experience
Proficient in building statistical models with latest data mining techniques and tools

Equal Opportunity Employer
Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.
Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.
Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.
For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education program, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.
Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation."
Analyst - Analytics,"Mumbai, Maharashtra",Colgate-Palmolive,,Sponsored,"Relocation Assistance Offered Within Country
# 81680 - Mumbai, Maharashtra, India
The incumbent will be responsible for supporting Colgate’s data management processes and standard reporting. In addition, conduct first level analysis of reports for Colgate business functions at global, division and hub (country clusters) levels. The incumbent must be an analytic thinker with the ability to work with large data sets, detail-oriented, problem solver, collaborative and customer-oriented (proactive and responsive to stakeholder needs).

Primary Responsibility
Create standard reports per agreed to SLAs and respond to ad hoc requests for reporting and first level analysis.
Supports market data harmonization process set up and business as usual across all CP/Hill’s countries and categories working with external strategic partners as appropriate.
Manage market data validation processes and tools and investigate significant differences from what was previously reported.
Communicate and coordinate with Divisions and subsidiaries as part of investigation and resolution of discrepancies.
Update and manage master data sets.
Assist with change management needs (e.g., training, communications, etc.) as part of roll-out and ongoing support of market data reporting tools and processes.
Ready to work closely with business partners across geographies

Performance / Skill Criteria
Mandatory
Intermediate knowledge of Excel (i.e., standard functions – aggregation, pivots, look ups, etc.)
Intermediate Knowledge of data processing and visualization tools (R, Python & Tableau )
Good understanding of Trade – Direct, Indirect & Retail, Distribution Models
High level of comfort with large sets of data and attend to detail s and passion for accuracy
Problem-solver, with analytic thinking and ability to apply root cause analysis
Ability to prioritize multiple work assignments and meet deadlines

Good to Have
Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Working knowledge of consumer packaged goods industry
Understanding of Colgate’s/Hill’s processes, and tools supporting analytics (for internal candidates)
Willingness and ability to experiment with new tools and techniques
Good facilitation and project management skills
Ability to maintain personal composure and tactfully handle difficult situations.

Required Experience / Education
Bachelor of Engineering / Sciences
4+ years of experience
Proficient in Reporting and/or Budgeting

Equal Opportunity Employer
Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.
Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.
Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.
For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education program, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.
Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation."
Data Science Intern,"Navi Mumbai, Maharashtra",Sankhkyiki Robotics,,Organic,"Responsibilities
Work on different exercises on data science and machine learning algorithms
Create projects for the computer vision natural language processing
Create various artificial intelligence applications and combined them with robotics policy action based on the company's requirements


Skill(s) required: data science, big data, analytics, statistics"
Data Science/ Machine Learning intern,"Delhi, Delhi",ProtonMetric,,Organic,"Preferred qualification -
Strong background in computer science with good knowledge of data science.
You will be working on a very special project. We will provide you guidance and feedback continually. If we like your work, we will extend the internship or you can work time on it on a stipend basis.
The main objective of this project is to create a robust code that can do analysis automatically without any manual intervention to give out a close enough accuracy when compared to the accuracy one can get from manually doing the project.
You have to build the code in python to achieve the following -
1) Import Dataset: Classify variables into id, nominal, interval variables etc.
2) Data Cleaning: Imputation, normalization, handling outlier, spelling mistake, invalid input, handling date format, oversampling if needed etc.
3) Modeling: Build major models like regression, decision tree, gradient boosting, random forest, deep neural net, ensemble models, XGBoost etc. Also, you need to autotune hyperparameter or settings of models using K cross validation.
4) Comparison: select best model based on various matrix of misclassification, AUC, adjusted r square etc.
5) Scoring: score dataset with the best model
The code is needed to be very systematic and properly commented so that its very easy to build onto that code in the future.
In the end, you need to make a simple GUI with python code, asking to input the location of the datasets from user, and then running the above code in the background to provide the user with the scored dataset and the accuracy of the best model
If we like your work, we can continue you on a permanent basis on a stipend basis.
Job Type: Internship
Salary: ₹10,000.00 to ₹20,000.00 /month"
Machine Learning/Data Science Intern,"Bengaluru, Karnataka",TechCiti Technologies Private Limited,,Organic,"TechCiti Technologies Pvt Ltd provide Software development Internship cum Training to all Pursuing Students/Fresh graduates.
Qualification : BE/BTECH (CSE/ISE/ECE/IT/EEE) Pursuing Students (2020/2021)
or MCA/BCA
We offer internship in following domains:
Java
Web Development
Cloud Computing
Python
Machine Learning
AngularJS
Android
Dot Net
Node JS
Mango DB
Mean stack development
About Internship
We will train you in any of the above coding technologies
Working on the project,Project Implementation
Full Stack Development (Working on Front end and back-end )
Benefits
Flexible work hours, 5 days a week.
Informal dress code.
All interns will get an Internship Certificate.
The best interns will get a Letter of Recommendation.
Internship Duration: 1 – 6 Months
Mode of Internship :
In-Office internship
Online/Work From Home internship.
Location: Bangalore
Job Type: Internship
If you are looking for internship in any of the above field, contact us at 9148984678
Job Type: Internship
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Program Executive (Science Graduates),"Mumbai, Maharashtra",KHPL,,Organic,"Data Entry and Telephonic Calling
1. Data entry and updating of patient data base
2. Effective communication with patients / caregivers on the queries related to enrollment in the program
3. Verify the documents received and process enrollments
4. Maintain and file patient wise documentation
5. Make sure the enrollments are processed on time as per guidelines
6. Discussion with patients on price as per guidelines
7. Seeking approvals for special discounts and documentation
8. On time follow up with patients on the status of PSP approvals or dispatching of medicine
9. To call patients at defined frequency which is planned at the beginning of the month
10. Record all details (enrollment, orders, follow ups) in the system for the calls done / received from patients
11. Route calls to appropriate resources
Order creation and Follow up for supplies and activities
1. Generate order based on completed information and as per request of patient
2. Order generation for Sample Packs and documentation
3. Effective communication with distributors and Novo Team
4. Follow up and Confirm the receipt of stock as per order
5. Fixing appointment for Face to face Device demo and other services with patients
6. Follow up and confirm demo and receipt of other services
7. Collecting feedback on the demo and services from patients
8. Ensure follow up for repeat orders and supplies.
Compliance
1. Identify and escalate issues to Kartavya’s Project Coordinator in case of any deviation from SOP
2. Report Adverse events and product quality complains
Make sure the patient confidentiality / details are not shared with Novo Nordisk
Job Type: Full-time
Salary: ₹15,000.00 to ₹20,000.00 /month
Experience:
total work: 1 year (Required)
Education:
Bachelor's (Preferred)
Location:
Mumbai, Maharashtra (Required)
Work Remotely:
Temporarily due to COVID-19"
Data Science,"Mumbai, Maharashtra",lemark institute of art,,Organic,"As a Data Scientist, Geospatial you will work on our machine learning platform and actively contribute to the development of our state-of-the-art preprocessing and modeling capabilities. You will join some of the best and brightest Data Scientists in the world in order to build innovative predictive modeling solutions that allow end-users to build more accurate models faster.
We are looking for talented people with excellent computer skills and deep knowledge of Statistical Learning who can analyze problems, develop innovative solutions, and implement them for real-world use on top of our machine learning platform.
DataRobot is based around delivering best-in-class data science solutions and this position provides the opportunity to develop key components of our platform.
Skills
Highly motivated and passionate about machine learning and computer science
Strong experience working with Geospatial data
Deep knowledge of different statistical and machine learning approaches and problem domains
Hands-on experience applying machine learning to real-world problems
Hands-on experience working in a fast-paced environment in Python
Hands-on experience writing testable, documented and maintainable code
Strong analytical and problem-solving skills
Ability to work with raw data sources in a variety of formats
Bonus
Experience with distributed computation frameworks
Outstanding achievements in “Kaggle like” competitions
Proficiency with C/C++ or Java (Scala, Clojure)
Experience in a management role
Contribution to open source solutions
Familiarity with either R, SAS or Matlab"
Data Scientist /AI Developer,"Thane, Maharashtra",Siemens AG,,Organic,"Mode of employment: Full time / Contract

As a Data Scientist in the LDA India, you will be involved in designing, implementing and testing a component of the Minerals projects. You will work closely with our product owner, scrum master and other developers in an agile development team throughout the entire product lifecycle.

What are my responsibilities?
You are proficient in modern technologies and software development for web AI application using Java
o Basic python, tensorflow, regression models, deep learning, neural networks, data science mathematical models and Git
Design, develop and maintain in on premise and cloud environment (Dev, Test and Release)
Implement, test and release bug fixes

What do I need to qualify for this job?
General Experience & Skill Set
Qualification: Degree / BE (Computer Science, Information Technology)
Experience: 3+ years of experience on software development projects, out of which at least 2 year of AI Work experience

Required Skills:
Strong knowledge in software development, build, release.
Knowledge of AI
1. Python, tensorflow, regression models, deep learning, neural networks, data science mathematical models, Git
Knowledge of Java
Strong in OOP concepts

Organization: Portfolio Companies
Company: Siemens Limited
Experience Level: Experienced Professional
Job Type: Full-time"
Data Analytics Platform Developer(Python),"Mumbai, Maharashtra",JP Morgan Chase,,Organic,"About J.P. Morgan Corporate & Investment Bank -
J.P. Morgan is a premier corporate and investment bank with a full suite of global financial services and capabilities. The world’s most important corporations, governments, financial institutions, pensions, sovereign wealth organizations, states and municipalities entrust us with their business in more than 100 countries. We offer strategic advice, lend money, raise capital, help manage risk, extend liquidity, buy and sell securities and provide many other banking services in markets around the world.
Who are we? -
We are a global team of technologists within the Corporate & Investment Bank, focused on collaborating with Data Scientists on developing and deploying analytical solutions to meet the firm’s business challenges.
Why join? -
Opportunity to innovate and drive measurable commercial value in an industry that is being transformed by analytics including machine learning and AI.
Collaborate with a highly skilled and passionate team of data scientists with diverse experience across technology, finance and academia.
Develop and engineer proprietary and open-source technologies with a team of really good technologists.

Data Analytics Embedded Developer
=========================
One of our key roles is that of embedded developer. Embedded developers work with Data Scientists on a wide variety of projects to deploy data science models and provide software engineering expertise throughout the model development lifecycle. They will use internal Data Science platform that leverage proprietary and open source software/tools to ensure that models are developed in accordance with SDLC guidelines, are of production quality and can be deployed quickly. They will need to interact with platform developers, engineering and developer communities and leverage infrastructure that already exists in the firm as well as develop or integrate new technologies.

Example areas of focus
Model production deployment
Model training pipeline
Feature engineering
Software development best practices

Key Requirements
Higher degree in computer science or engineering
Expertize in python with experience in libraries like numpy, scipy, spacy, rasa, nltk, keras, tensorflow, pyspark, scikit-learn, matplotlib, pandas, JupyterLab
Hands on experience using containers, big data platforms like Hadoop and Spark and/or cloud infrastructure covering technologies like HDFS, Hive, Impala, ElasticSearch, Docker, Kubernetes, Parquet, Avro, RDD
Hands on experience with relational SQL and no-sql database technologies like Oracle, HBase, Cassandra, SparkQL, SQL, ODBC, JDBC
Experience with logging and monitoring tools (ElasticSearch, Logstash, Kibana) and performance analysis
Experience with batch scheduling technologies like Control-M, Apache Airflow
Experience with REST web services and messaging technologies like MQ, Kafka desirable
Interest in data science and data science tooling
Superb communication and collaboration skills
Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world’s important corporations, governments and institutions. You’ll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. CIB provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world.
When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.

At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.

@2019 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."
Associate - Data Science,"Mumbai, Maharashtra",TATA Capital,,Organic,"? Publishing of Regular Portfolio Performance Deck and regular dashboards
? Automation of existing dashboards using SAS / Python / SQL / Tableau
? Adhoc – analysis for top management.
? Data maintenance, Data Quality, Enrichment and Validation
? Cross functional analytical projects
? Customer/Stakeholder Management for dashboard automation and regular dashboards

Job Description ? Publishing of Regular Portfolio Performance Deck and regular dashboards
? Automation of existing dashboards using SAS / Python / SQL / Tableau
? Adhoc – analysis for top management.
? Data maintenance, Data Quality, Enrichment and Validation
? Cross functional analytical projects
? Customer/Stakeholder Management for dashboard automation and regular dashboards
? SAS
? Tableau
? Python
? Dashboard Automation"
