Title,Location,Company,Salary,Sponsored,Description
Software Engineer - Machine Learning with Cloud,Karnataka,Telstra,None,Sponsored,None
Data Scientist,"Mumbai, Maharashtra",Canary Health Technologies Inc.,"₹3,50,000 - ₹4,50,000 a year",Sponsored,"Develop and maintain Cognitive platform
Analyze business requirements and enhance the platform.
Continue improving the platform by experimenting with different modelling techniques.
Maintaining and improving the documentation of the platform.
Prefer to have basic understanding of platform support.
Building new capabilities for the platform to achieve minimal human intervention.
Making platform highly configurable to easily meet business and development needs.
Building strong monitoring and alerting services for the platform.
Designing platform solutions in accordance with standard Telstra design principles and conventions.
Problem solving issues that arise in day to day running of Business processes and providing timely responses and solutions as required.
Achieve a well-defined, functioning and repeatable set of key business, with product owners and technology processes to ensure consistent quality is maintained
Perform application performance, load analysis and assist in capacity planning as required to support the solution
Technology Assessments and Estimation of new features
Mandatory Skills & Tools
Hands on development experience in Python, and Classic Machine Learning
Keeping up to date with latest modelling/deploying techniques
Jupyter Notebook
Strong in requirement gathering and analysis (ability to work with a structured and methodical approach, combined with an inquiring mind).
Strong in design principles and modular programming techniques.
Hands on experience with Continuous Integration and Delivery pipelines. Enhancing and improving CI/CD capabilities to reduce cycle time while retaining quality.
Good To Have
Experience in new development projects is preferred.
Experience in Test-driven development is preferred.
Deep learning modelling
PowerShell, and Bash is desired.
Knowledge of Cloud Service is preferred"
Data Science/ Machine Learning intern,"Delhi, Delhi",ProtonMetric,"₹10,000 - ₹20,000 a month",Organic,"Primary Responsibilities:
This project requires a data scientist to build a python-based classification model prototype that analyses raw data files and establishes output data ranges across dimensions.
This data model will deliver analytical results indicating type based on the inputted data.
This model should run on all new samples received in our cloud, accepting payloads and outputting staged-output scores. Outputs will be appended to existing record for review, analysis, and reporting.
Sample data is currently in an AWS cloud which is where your model will reside and be deployed. Upon completion, the deployed model will automatically ingest, process new data samples received through a web app and stored in an AWS DB, outputting classification results. Results will classify/stratify into groups of cohorts.
Specific Responsibilities:
Build, develop, and deliver core model in AWS infrastructure (EC2 (preferred), Sagemaker, Lambda, etc)
Configure necessary AWS infrastructure to support the model
Model must be deployed in AWS environment
Model must process payloads and produce scores saved for reporting and access
Daily or every-other-day check-ins to discuss updates, progress, challenges, and results
Knowledge/Skills/Abilities:
3-5 years of work experience.
Good understanding of how machine learning, deep learning and A.I. algorithms work
A person experienced in performing data analysis and model development for dataset related to spectroscopy / chemometrics or similar will be an added advantage
Extensive experience in model serving and workflow tools to enable rapid and reliable ML experimentation at scale.
Practical cloud computing experience with AWS technologies utilizing infrastructure as code methodologies to create high performance and data intensive platforms.
Programming skills in Python, R, SQL programming with the ability to quickly create prototype and debug solutions on Cloud Native / Linux /embedded platforms.
More information will be provided to the successful applicant.
Job Type: Contract
Salary: ₹350,000.00 to ₹450,000.00 /year
Experience:
Machine learning: 2 years (Preferred)
Education:
Bachelor's (Required)
Industry:
Scientific Research & Development
Work Remotely:
Temporarily due to COVID-19"
Machine Learning Engineer,"Mumbai, Maharashtra",Quantiphi,None,Organic,"Preferred qualification -
Strong background in computer science with good knowledge of data science.
You will be working on a very special project. We will provide you guidance and feedback continually. If we like your work, we will extend the internship or you can work time on it on a stipend basis.
The main objective of this project is to create a robust code that can do analysis automatically without any manual intervention to give out a close enough accuracy when compared to the accuracy one can get from manually doing the project.
You have to build the code in python to achieve the following -
1) Import Dataset: Classify variables into id, nominal, interval variables etc.
2) Data Cleaning: Imputation, normalization, handling outlier, spelling mistake, invalid input, handling date format, oversampling if needed etc.
3) Modeling: Build major models like regression, decision tree, gradient boosting, random forest, deep neural net, ensemble models, XGBoost etc. Also, you need to autotune hyperparameter or settings of models using K cross validation.
4) Comparison: select best model based on various matrix of misclassification, AUC, adjusted r square etc.
5) Scoring: score dataset with the best model
The code is needed to be very systematic and properly commented so that its very easy to build onto that code in the future.
In the end, you need to make a simple GUI with python code, asking to input the location of the datasets from user, and then running the above code in the background to provide the user with the scored dataset and the accuracy of the best model
If we like your work, we can continue you on a permanent basis on a stipend basis.
Job Type: Internship
Salary: ₹10,000.00 to ₹20,000.00 /month"
The Image Processing and Machine learning Engineer,"Kolkata, West Bengal",Agnik,None,Organic,"The candidate should be passionate about machine learning and deep learning.
Should understand the importance and know-how of taking the machine-learning-based solution to the consumer.
Hands-on experience with statistical, machine-learning tools and techniques
Good exposure to Deep learning libraries like Tensorflow, PyTorch.
Experience in implementing Deep Learning techniques, Computer Vision and NLP. The candidate should be able to develop the solution from scratch with Github codes exposed.
Should be able to read research papers and pick ideas to quickly reproduce research in the most comfortable Deep Learning library.
Should be strong in data structures and algorithms. Should be able to do code complexity analysis/optimization for smooth delivery to production.
Expert level coding experience in Python.
Technologies: Backend - Python (Programming Language)
Should have the ability to think long term solutions, modularity, and reusability of the components.
Should be able to work in a collaborative way. Should be open to learning from peers as well as constantly bring new ideas to the table.
Self-driven missile. Open to peer criticism, feedback and should be able to take it positively. Ready to be held accountable for the responsibilities undertaken."
Machine Learning Engineer,"Ahmedabad, Gujarat",The Athlos,"₹20,000 - ₹50,000 a month",Organic,"Overview
Agnik, is a global connected car technology company (www.agnik.com) operating in 200+ countries headquartered in USA with major consumer brands like Vyncs (www.vyncs.com) and several B2B products. Agnik is looking for a full-time member of its Technical Team at the rank of The Image Processing and Machine learning Engineer in its New Town, Kolkata office. If you want to join a top notch technical team that develops novel connected car applications and you are experienced in developing software in Python/ Java programming language then send a copy of your complete resume with a subject line “The Image Processing and Machine learning Engineer”.
Responsibilities:
As an employee of Agnik, the primary focus of The Image Processing and Machine learning Engineer will develop and test image processing and machine learning algorithms for connected mobility-related products. The selected person will analyze data and develop scalable systems.
The Image Processing and Machine learning Engineer Skills include:
l Candidate should have direct experience in imaging processing, preferably in real-time processing of video image streams.
l Candidate should be skilled in programming using Python and JAVA.
l Experience in machine learning and classification algorithms is required.
l Familiarity with Signal processing techniques is highly desired.
l Applicants should be well organized and have excellent verbal and written communication skills.
Qualifications:
l Need at least 2 years of experience in image processing, object recognition, and
machine learning system development.
l Need either computer science or EE MS/PhD degree or equivalent experience.
Salary:
Commensurate with the qualifications and skills.
Job Type: Full-time
Job Type: Full-time
Experience:
Machine Learning: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Master's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Product Managers for AI/Machine Learning Products - IIMs onl...,"Mumbai, Maharashtra",Zycus,None,Organic,"Responsibilities
· Design machine learning systems
· Research and implement appropriate ML algorithms and tools
· Develop machine learning applications according to requirements
· Select appropriate datasets and data representation methods
· Run machine learning tests and experiments
· Perform statistical analysis and fine-tuning using test results
· Train and retrain systems when necessary
· Extend existing ML libraries and frameworks
· Keep abreast of developments in the field
Requirements
· Proven project experience as a Machine Learning Engineer or similar role (Freshers are also allowed to apply but we are expecting that you have knowledge regarding the machine learning project flow).
· Understanding of data structures, data modeling and software architecture
· Understanding of data structures, data modeling and software architecture
· Deep knowledge of math, probability, statistics and algorithms
· Ability to write robust code in Python (additional requirement)
· Familiarity with machine learning frameworks (like PyTorch) and libraries (like scikit-learn)
· Excellent communication skills
· Ability to work in a team
· Outstanding analytical and problem-solving skills
Job Type: Full-time
Salary: ₹20,000.00 to ₹50,000.00 /month
Experience:
Machine Learning Language: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Machine Learning,"Mumbai, Maharashtra",Viteos Capital Market Services,None,Organic,"Share this job

Description
Requirements

Zycus is looking candidates with excellent knowledge in software Product Management & consumer products with a Master’s in Business Administration from Premium B-Schools (Tier 1 Only).

Associate Product Manager/ Product Manager will play a critical role in owning the entire product Life Cycle, right from planning to execution. The position is open for both Bengaluru & Mumbai locations.

Eager beaver- attitude and an obsession with deadlines, analysis of the product performance, driving a solution set across development teams and a Visionary will be the drivers for this role.

The selected candidate will be responsible for creating world class products, driving teams in improving customer adoption and satisfaction and has the complete ownership of the product road map and development plans.

At Zycus, we strongly believe that only an empowered Product Management team can take a product forward and so we entrust our product managers to take all the product related decisions. We treat the product managers as CEOs for their products, and product managers are evaluated on the product’s commercial success.

Also, product managers are our evangelists – they are responsible for articulating the products’ vision to customers, partners, analysts and internal stakeholders like sales, pre-sales and implementation teams.

The Role & Responsibilities of the position would include:
Development and implementation strategies that help in the product growth
Strong background of handling AI/Machine Learning products.
Identifying new opportunities maximize new revenue & meet renewal targets
Strong understanding of recent & emerging IT trends and technical architecture
Gathering business requirements and creating the functional spec
Interacting with users, performing market research, and developing the products
Product Strategy and Vision
Monitoring the development & QA teams
Laying out Web, Mobile (iOS, Android) strategy and roadmap
Multi-functional team collaboration to understand and prioritize requirements
Prioritize Feature requirements
Conceptualization and detailed wire framing/prototyping
Managing the entire release management process
Writing user stories and grooming those with design and engineering teams
Agile Product Implementation
Managing the entire release management process
Product Marketing: Evangelizing, influencing and collaborating with the product marketing and communications team to ensure proper, informative, impacting engagement with the market through branding, blogs, e-mailers and white papers.

Go-to Market:
Conducting feature training and demo sessions with sales and support teams.
Collaborating with product marketing and communication team for branding, blogs and product launches.

Skills that we are looking for:
Ability to handle ambiguity and change
Very strong logical thinking capabilities and analytical skills
Visualize and conceptualize new ideas and solutions
UI designing & prototyping (use of wire framing tools)
Research and analysis (both primary and secondary research)
Customer management and excellent communication & presentation skills
Art of negotiation and prioritization
Ability to manage teams and build close relationships with different team members.
Visionary

Desired Experience:
Total experience: 1 - 4 yrs of relevant Product Management Experience - post full time MBA from a Tier 1 B-School only.

Background in Product Management / Product Design.
Visualize and Conceptualize ideas / features.
Ability to present new ideas in any format of choice (PPT / Wireframe / etc.)
Ability to adopt process approach to solve a problem
Strong appreciation of technology.
Excellent communication and high on aptitude.
Driving Various Teams to success
Benefits"
Developer- Machine Learning & Computer Vision,"Mahal, Andhra Pradesh",Drishti Tech,None,Organic,"The role involves the following responsibilities and deliverables:
Work with business to concrete definition of the business case, scope of use case and ROI
Work with internal /external teams to develop the technology solution related to Blockchain/Machine Learning for the use cases agreed with the business and signed off
Coordinate with the internal stakeholders/SMEs to ensure the inputs/reviews/signoffs are timely for the external vendors
Proactively track the project plan to timely closure within budget
Pilot and extend the solution implementation across client’s/business areas
Assist in building an internal team of the above skills
Document the actual ROI, archival, fine tune the parameters/scope elements for subsequent implementations
Required Skills
2 people with 3-5 years’ experience in Viteos business operations/IT with skill building relevant to ML/BC
2 people with 0-2 years’ experience in Viteos business operations/IT
Must have good soft skills and be able to manage relationship with internal and external stakeholders
Manage timely delivery of the project plan in accordance with the timelines committed with client
Additional Requirements
Pilot and extend the solution implementation
Assist in building an internal team"
Machine Learning Engineer,"Coimbatore, Tamil Nadu","TechUnity, Inc.",None,Organic,"Responsibilities
Design & implement machine learning software solutions
Interact with business heads & department heads to gather feedback & clarification
Research & apply new technologies for improvement of performance in technical activities
Perform assigned tasks within stipulated time period & cost
Prepare & update Technical documentation
Code management in GIT & version control repository

Requirements - Skills, Experience & Qualitfications
Minimum Qualifications.
Technical Skills:
Hands on experience developing,releasing & maintaining software applications
Knowledge of Python scripting language
Good knowledge of technologies such as Python, Machine Learning & Computer vision
Should have good logical and problem solving skills
Soft Skills :
Should have excellent verbal and written communication skills.
Ability to work independently with minimal supervision and as part of a team
Qualifications & Experience:
Bachelor's Degree in Computer Science, Mathematics, Computer Engineering or equivalent). *minimum required qualification
2 years & above work experience in with designing & implementing various Machine learning & Computer Vision Solutions
Preferred Qualifications.
Master's / Advanced Degree in Computer Science, Mathematics, Computer Engineering, or related field of study"
